,,0
cfpr_number_of_tracts,cfpl_mean_length,0.7026786649363204
cfpl_mean_length,cfpr_number_of_tracts,0.7026786649363204
afsl_total_radius_of_end_regions,afsl_irregularity,0.7026870203376787
afsl_irregularity,afsl_total_radius_of_end_regions,0.7026870203376787
cfpr_trunk_volume,cfpl_area_of_end_region_2,0.7032308656595792
cfpl_area_of_end_region_2,cfpr_trunk_volume,0.7032308656595792
ufsr_area_of_end_region_1,ufsr_volume,0.7033666524154701
ufsr_volume,ufsr_area_of_end_region_1,0.7033666524154701
fatr_span,cfpl_total_radius_of_end_regions,0.7034111737854195
cfpl_total_radius_of_end_regions,fatr_span,0.7034111737854195
cfpl_rd,slfl_md,0.7037085944676592
slfl_md,cfpl_rd,0.7037085944676592
cfpr_area_of_end_region_1,cfpr_span,0.7037488722003744
cfpr_span,cfpr_area_of_end_region_1,0.7037488722003744
cfpr_mean_length,cfpr_radius_of_end_region_2,0.7039236420387096
cfpr_radius_of_end_region_2,cfpr_mean_length,0.7039236420387096
cfpr_mean_length,cfpr_area_of_end_region_1,0.7039569787278321
cfpr_area_of_end_region_1,cfpr_mean_length,0.7039569787278321
afsr_ad,ufsl_ad,0.7040174268738764
ufsl_ad,afsr_ad,0.7040174268738764
ufsr_number_of_tracts,cfpl_radius_of_end_region_2,0.7041932246714784
cfpl_radius_of_end_region_2,ufsr_number_of_tracts,0.7041932246714784
afsr_md,afsl_md,0.7042167556416268
afsl_md,afsr_md,0.7042167556416268
ufsr_area_of_end_region_2,ufsl_area_of_end_region_2,0.7044219051502575
ufsl_area_of_end_region_2,ufsr_area_of_end_region_2,0.7044219051502575
ufsr_diameter,ufsr_total_radius_of_end_regions,0.7048633305574452
ufsr_total_radius_of_end_regions,ufsr_diameter,0.7048633305574452
cfpl_radius_of_end_region_1,slfl_mean_length,0.7054916961206869
slfl_mean_length,cfpl_radius_of_end_region_1,0.7054916961206869
cfpl_radius_of_end_region_1,cfpl_irregularity,0.7055088079069324
cfpl_irregularity,cfpl_radius_of_end_region_1,0.7055088079069324
fatr_number_of_tracts,slfl_total_area_of_end_regions,0.7056918740103374
slfl_total_area_of_end_regions,fatr_number_of_tracts,0.7056918740103374
ufsl_radius_of_end_region_1,ufsl_total_surface_area,0.7057059773056834
ufsl_total_surface_area,ufsl_radius_of_end_region_1,0.7057059773056834
cfpr_total_surface_area,cfpl_radius_of_end_region_1,0.7058938012071261
cfpl_radius_of_end_region_1,cfpr_total_surface_area,0.7058938012071261
cfpl_area_of_end_region_2,cfpl_mean_length,0.7066586312022931
cfpl_mean_length,cfpl_area_of_end_region_2,0.7066586312022931
fatl_total_surface_area,fatl_total_area_of_end_regions,0.7068868416528864
fatl_total_area_of_end_regions,fatl_total_surface_area,0.7068868416528864
slfl_area_of_end_region_2,slfr_area_of_end_region_2,0.7068958191198572
slfr_area_of_end_region_2,slfl_area_of_end_region_2,0.7068958191198572
cfpl_total_radius_of_end_regions,cfpr_total_area_of_end_regions,0.706982332820852
cfpr_total_area_of_end_regions,cfpl_total_radius_of_end_regions,0.706982332820852
afsl_area_of_end_region_1,afsl_trunk_volume,0.70780622476141
afsl_trunk_volume,afsl_area_of_end_region_1,0.70780622476141
cfpl_volume,cfpl_span,0.7078525813592907
cfpl_span,cfpl_volume,0.7078525813592907
cfpl_radius_of_end_region_2,cfpr_total_surface_area,0.7087352751169331
cfpr_total_surface_area,cfpl_radius_of_end_region_2,0.7087352751169331
fatl_number_of_tracts,fatl_area_of_end_region_1,0.7087842933182701
fatl_area_of_end_region_1,fatl_number_of_tracts,0.7087842933182701
cfpl_trunk_volume,cfpl_mean_length,0.7088899893898836
cfpl_mean_length,cfpl_trunk_volume,0.7088899893898836
cfpl_total_area_of_end_regions,cfpl_radius_of_end_region_1,0.7092252860195294
cfpl_radius_of_end_region_1,cfpl_total_area_of_end_regions,0.7092252860195294
fatr_irregularity_of_end_region_2,cfpr_irregularity_of_end_region_2,0.7093171727138073
cfpr_irregularity_of_end_region_2,fatr_irregularity_of_end_region_2,0.7093171727138073
afsl_irregularity,afsl_total_area_of_end_regions,0.7096613139255261
afsl_total_area_of_end_regions,afsl_irregularity,0.7096613139255261
fatr_curl,cfpr_irregularity_of_end_region_2,0.7097713605285569
cfpr_irregularity_of_end_region_2,fatr_curl,0.7097713605285569
afsr_md,cfpr_md,0.7099320082832593
cfpr_md,afsr_md,0.7099320082832593
fatr_total_area_of_end_regions,fatl_number_of_tracts,0.7102258990281685
fatl_number_of_tracts,fatr_total_area_of_end_regions,0.7102258990281685
ufsl_mean_length,ufsl_dti_fa,0.7103490999269306
ufsl_dti_fa,ufsl_mean_length,0.7103490999269306
afsr_ad,afsl_ad,0.7107914494921752
afsl_ad,afsr_ad,0.7107914494921752
